aX,aY,aZ,gX,gY,gZ,sN
8.989,4.318,-0.350,0.118,0.114,-0.105,1
9.589,0.273,2.825,-0.150,0.429,-0.158,2
9.528,-0.332,1.335,-0.312,0.456,-0.045,3
9.591,-2.100,1.974,-0.203,0.487,-0.088,4
9.012,4.521,-0.464,0.024,0.509,-0.174,1
9.385,0.536,3.521,-0.121,0.877,-0.194,2
9.464,-0.235,1.579,-0.333,0.835,0.043,3
9.719,-1.797,1.834,-0.226,0.850,-0.068,4
8.985,4.749,-0.056,-0.127,0.828,-0.172,1
9.491,0.642,2.963,-0.292,1.464,-0.224,2
9.462,-0.085,1.369,-0.539,1.599,0.221,3
9.604,-1.893,1.799,-0.398,1.546,-0.009,4
8.659,4.742,0.705,-0.463,1.395,-0.182,1
8.799,0.322,4.559,-0.404,1.913,-0.270,2
9.000,-0.740,2.218,-0.695,1.996,0.233,3
9.306,-2.152,3.002,-0.546,1.906,-0.053,4
8.715,4.723,1.257,-0.485,1.284,-0.232,1
8.672,0.757,4.763,-0.541,2.196,-0.381,2
9.026,-0.317,0.848,-0.795,3.526,0.546,3
8.985,-2.569,3.066,-0.699,2.689,-0.164,4
8.261,5.036,2.332,-0.534,1.395,-0.145,1
7.588,0.458,5.915,-0.804,2.365,-0.406,2
5.520,-1.999,5.393,-0.555,4.540,0.723,3
7.839,-2.337,5.561,-0.767,2.563,-0.375,4
8.323,4.428,2.097,-0.398,1.418,-0.228,1
7.331,0.612,6.059,-0.646,2.854,-0.386,2
5.370,-1.340,6.038,0.009,4.294,0.705,3
8.273,-1.630,4.124,-0.432,3.427,-0.129,4
8.049,5.262,2.031,-0.616,2.098,-0.271,1
6.738,0.907,5.976,-0.644,3.619,-0.384,2
4.885,-0.704,5.454,-0.248,4.402,0.664,3
6.851,-1.733,4.871,-0.682,4.816,-0.020,4
7.398,4.567,2.541,-1.266,3.010,-0.272,1
4.870,0.323,6.510,-0.697,4.871,-0.402,2
2.423,-1.678,6.263,-0.173,4.812,0.667,3
4.669,-2.964,5.333,-0.826,5.711,-0.001,4
6.128,4.184,3.195,-1.650,4.177,-0.428,1
3.318,0.711,5.899,-0.666,6.292,-0.315,2
1.779,-1.033,4.433,-0.104,5.982,0.752,3
2.540,-0.560,7.151,-0.217,7.662,0.337,4
4.964,3.669,5.037,-1.785,5.377,-0.481,1
-0.794,0.678,9.068,-0.559,7.351,-0.091,2
-2.927,-2.034,6.857,-0.459,6.195,0.574,3
-1.217,-2.318,7.560,-0.311,8.290,0.456,4
1.670,2.739,8.283,-1.718,5.410,-0.382,1
-3.634,0.283,8.182,-0.518,6.986,-0.197,2
-4.712,-1.854,5.335,-0.541,6.329,0.364,3
-4.860,-2.607,9.389,-0.433,8.102,0.462,4
0.959,2.247,8.068,-1.805,6.275,-0.362,1
-4.957,0.243,8.628,-0.439,7.286,0.096,2
-6.073,-1.950,5.537,-0.476,6.275,0.638,3
-5.637,-3.035,8.173,-0.427,6.783,0.651,4
-1.389,1.578,8.904,-1.584,6.380,-0.465,1
-7.288,-0.236,6.943,-0.394,6.807,0.125,2
-7.881,-2.046,3.409,-0.550,6.290,0.625,3
-7.621,-3.207,7.160,-0.528,6.332,0.609,4
-3.676,1.378,9.797,-1.343,5.866,-0.478,1
-9.013,-0.424,5.859,-0.317,6.116,0.153,2
-9.131,-2.133,2.172,-0.483,5.738,0.721,3
-8.162,-3.032,5.915,-0.323,5.304,0.532,4
-3.962,0.874,8.484,-1.119,5.524,-0.599,1
-7.938,-0.291,4.254,-0.277,5.948,0.292,2
-7.440,-1.632,0.299,-0.516,5.919,0.961,3
-7.786,-2.849,4.475,-0.308,5.612,1.023,4
-5.807,-0.017,7.914,-0.874,5.997,-0.762,1
-10.313,-0.970,1.725,-0.233,6.125,0.439,2
-9.930,-2.213,-1.636,-0.378,5.737,0.885,3
-9.512,-3.053,2.801,-0.131,5.257,0.842,4
-7.690,-0.243,6.365,-0.517,5.412,-0.818,1
-10.807,-0.324,0.230,-0.072,5.427,0.400,2
