aX,aY,aZ,gX,gY,gZ,sN
1,-13.091,17.384,-2.368,3.098,1.905,-0.001
2,-7.501,18.644,-6.031,1.086,0.768,1.826
3,-8.489,18.893,-8.404,0.356,0.215,1.204
4,-7.491,16.272,-10.576,0.242,-0.124,0.192
1,-10.915,19.613,-3.925,-0.422,-0.535,0.183
2,-3.558,18.678,-4.398,-1.150,-0.528,-1.208
3,-5.250,16.741,-5.424,-1.211,-0.656,-2.046
4,-5.280,12.655,-6.627,-1.668,-1.421,-1.778
1,-5.175,13.386,-3.855,-2.850,-1.108,0.581
2,-1.681,11.228,-2.148,-2.675,-0.496,-2.284
3,-3.455,7.733,-3.183,-2.240,-0.624,-2.933
4,-4.015,4.543,-0.613,-2.143,-1.462,-2.061
1,-3.024,3.566,-0.796,-2.856,-1.094,0.358
2,-2.440,2.635,0.059,-1.982,-0.429,-2.079
3,-3.486,-0.154,-0.996,-1.219,-0.394,-2.118
4,-4.445,-0.450,3.825,-0.825,-0.808,-1.193
1,0.147,-1.384,1.377,-0.788,-0.494,-0.035
2,-2.438,-1.172,1.756,-0.155,0.019,-0.386
3,-3.454,-3.391,0.126,0.288,0.326,0.264
4,-4.152,-2.118,5.272,1.017,0.898,0.480
1,0.527,-2.132,0.851,2.217,0.839,-0.704
2,-1.325,-0.305,0.766,2.281,1.042,1.685
3,-2.071,-0.110,-1.569,1.904,1.571,2.891
4,-3.638,1.824,-0.110,2.496,2.953,2.078
1,-3.250,5.414,-3.418,4.380,2.329,-1.032
2,-1.792,10.078,-3.754,3.100,1.897,3.167
3,-5.362,13.746,-7.500,1.728,1.844,3.977
4,-8.428,13.245,-11.852,2.133,2.492,2.447
1,-10.974,13.363,-3.096,2.375,1.958,1.751
2,-6.029,19.552,-6.923,0.587,0.427,1.516
3,-6.316,19.442,-8.460,-0.029,-0.051,0.652
4,-5.804,15.935,-11.456,-0.140,-0.520,-0.149
1,-9.303,19.207,-5.302,-0.950,-0.981,-0.165
2,-2.195,18.097,-4.736,-1.692,-0.568,-1.489
3,-3.985,16.583,-5.374,-1.604,-0.747,-2.386
4,-4.094,11.856,-7.333,-2.134,-1.635,-1.885
1,-5.485,11.557,-3.922,-3.526,-1.054,0.470
2,-2.407,8.546,-2.983,-3.041,-0.343,-2.773
3,-3.584,4.548,-3.728,-2.031,-0.510,-3.456
4,-4.421,2.010,0.113,-1.976,-1.715,-2.548
1,-2.841,1.279,-0.327,-3.174,-1.227,-0.248
2,-2.672,1.119,0.175,-1.728,-0.431,-2.433
3,-3.917,-1.861,-1.002,-0.700,-0.347,-1.962
4,-5.295,-1.705,4.530,-0.314,-0.741,-0.897
1,0.968,-2.660,1.524,-0.183,-0.303,-0.106
2,-2.207,-1.630,2.008,0.247,0.126,0.214
3,-3.142,-3.496,0.289,0.626,0.480,1.148
4,-3.667,-1.790,5.151,1.439,1.374,1.087
1,0.333,-1.262,-0.135,3.010,1.187,-0.651
2,-0.967,2.680,-0.447,2.534,1.223,2.350
3,-3.038,5.770,-3.875,1.750,1.550,3.412
4,-5.673,7.209,-5.958,2.287,2.733,2.299
1,-8.152,13.900,-3.516,3.653,2.043,-0.151
2,-5.414,17.426,-5.513,1.511,1.090,2.702
3,-7.987,18.755,-8.837,0.357,0.418,2.373
4,-7.416,15.417,-12.639,0.448,0.507,1.244
1,-12.918,19.613,-3.531,0.432,-0.040,0.560
2,-4.591,19.613,-5.122,-0.832,-0.516,-0.449
3,-5.490,18.522,-5.889,-0.843,-0.855,-1.581
4,-4.731,14.232,-8.733,-1.523,-1.706,-1.513
1,-6.082,16.032,-3.865,-2.758,-1.361,0.390
2,-1.687,13.188,-2.167,-2.446,-0.800,-2.614
3,-3.437,9.318,-3.031,-1.829,-0.914,-3.408
4,-3.735,5.679,-1.477,-2.532,-2.020,-2.501
1,-3.025,4.954,-1.098,-3.335,-1.435,0.030
2,-2.259,3.475,0.017,-2.001,-0.728,-2.729
3,-3.442,0.129,-1.107,-1.019,-0.714,-2.793
4,-4.469,-0.437,3.606,-1.310,-1.370,-1.765
1,0.412,-1.483,1.295,-1.357,-0.856,-0.272
2,-2.225,-1.408,1.883,-0.321,-0.246,-0.961
3,-3.316,-3.873,0.226,0.241,0.056,-0.264
4,-4.304,-2.794,5.614,0.442,0.485,0.137
1,1.202,-3.266,1.428,1.790,0.640,-0.588
2,-1.599,-1.784,1.506,1.942,0.880,1.488
3,-2.211,-1.943,-0.948,1.693,1.362,2.669
4,-3.780,0.578,0.873,2.079,2.672,2.000
1,-3.232,5.023,-2.873,4.300,2.191,-0.802
2,-3.036,9.928,-3.764,2.813,1.679,3.272
3,-6.200,12.531,-7.576,1.458,1.494,3.974
4,-7.891,11.708,-10.384,1.770,2.323,2.605
1,-13.769,18.450,-2.915,2.806,1.558,0.257
2,-7.242,19.613,-6.646,0.724,0.417,1.687
3,-8.119,19.613,-9.041,0.016,-0.253,0.803
4,-7.040,16.354,-11.860,-0.247,-0.663,0.007
1,-11.422,19.613,-4.222,-0.954,-0.959,0.411
2,-3.634,18.274,-4.529,-1.548,-0.932,-1.597
3,-5.049,16.400,-5.464,-1.311,-1.126,-2.555
4,-4.749,12.091,-6.844,-2.144,-2.063,-2.090
1,-4.996,12.645,-3.548,-3.391,-1.546,0.600
2,-1.596,9.865,-1.812,-2.883,-0.861,-2.765
3,-2.962,6.266,-2.716,-2.092,-1.033,-3.461
4,-3.361,3.261,0.293,-2.622,-1.961,-2.478
1,-2.401,2.288,-0.281,-3.248,-1.383,0.073
2,-2.352,1.298,0.494,-1.866,-0.657,-2.547
3,-3.379,-1.432,-0.775,-0.911,-0.626,-2.516
4,-4.629,-1.617,4.325,-1.010,-1.065,-1.533
1,0.548,-2.403,1.784,-0.907,-0.625,-0.310
2,-2.559,-1.921,1.944,0.043,-0.051,-0.563
3,-3.699,-4.166,0.130,0.484,0.264,0.164
4,-4.855,-2.994,5.459,0.915,0.828,0.470
1,0.387,-2.726,1.587,2.338,0.902,-0.703
2,-2.365,-0.875,1.030,2.361,1.034,1.812
3,-3.110,-1.043,-1.518,1.959,1.505,2.891
4,-4.664,1.131,0.211,2.516,2.796,2.171
1,-4.903,6.661,-2.327,4.505,2.024,-0.825
2,-4.404,11.477,-4.367,2.890,1.425,3.164
3,-7.396,13.446,-8.170,1.611,1.275,3.737
4,-8.734,12.476,-10.691,2.005,1.900,2.466
1,-13.890,18.907,-2.595,2.551,1.113,0.330
2,-7.118,19.328,-6.230,0.554,0.086,1.376
3,-7.807,19.122,-8.368,-0.028,-0.439,0.527
4,-6.773,15.742,-10.706,-0.324,-0.800,-0.115
1,-10.047,18.653,-4.050,-0.983,-0.912,0.524
2,-3.478,17.277,-4.026,-1.604,-0.818,-1.322
3,-5.167,14.817,-4.987,-1.529,-1.052,-2.189
4,-4.928,10.475,-5.302,-2.218,-1.763,-1.689
1,-4.921,10.173,-2.531,-2.862,-1.259,0.776
2,-2.350,7.836,-1.481,-2.548,-0.736,-2.155
3,-3.497,4.275,-2.302,-1.821,-0.927,-2.732
4,-3.955,2.251,1.371,-2.018,-1.578,-1.898
1,-2.030,1.611,0.378,-2.349,-1.158,0.132
2,-2.518,1.097,0.891,-1.326,-0.557,-1.736
3,-3.587,-1.628,-0.395,-0.544,-0.470,-1.493
4,-4.486,-1.603,4.495,-0.360,-0.516,-0.725
1,0.370,-2.212,1.718,0.062,-0.266,-0.308
2,-2.307,-1.664,1.682,0.697,0.201,0.136
3,-2.897,-3.644,0.043,0.987,0.667,0.954
4,-3.654,-2.389,4.429,1.508,1.570,0.935
1,-0.006,-1.993,0.678,3.063,1.164,-1.081
2,-1.371,0.709,-0.062,3.022,1.183,2.040
3,-2.297,2.318,-3.588,2.351,1.723,3.264
